iter	Logloss
0	0.6628196184
1	0.6378302424
2	0.6145763061
3	0.5942991438
4	0.579437093
5	0.5731684439
6	0.5683303592
7	0.5544297588
8	0.5426197403
9	0.5389450417
10	0.5314214012
11	0.529109343
12	0.5242050874
13	0.5195726622
14	0.5132444223
15	0.5115640718
16	0.5068054128
17	0.5018441966
18	0.4973040706
19	0.4920730519
20	0.4908028209
21	0.487765443
22	0.4851044066
23	0.4794872271
24	0.4750724698
25	0.4720070941
26	0.468579945
27	0.4640922085
28	0.4610899457
29	0.4579660909
30	0.4540149248
31	0.4534260361
32	0.451062456
33	0.4490165446
34	0.4470626107
35	0.4457553199
36	0.4438460702
37	0.4420934658
38	0.4412326755
39	0.4398914921
40	0.4372275676
41	0.4359190786
42	0.4352639257
43	0.4345689523
44	0.4316825018
45	0.4316297483
46	0.4301297513
47	0.4284989626
48	0.4275062251
49	0.4264954014
50	0.4240055836
51	0.421517872
52	0.421482867
53	0.4200614775
54	0.4181059312
55	0.4173511961
56	0.4156955399
57	0.414270989
58	0.4109187809
59	0.4082283384
60	0.4071235483
61	0.4047911134
62	0.4036520757
63	0.4036491123
64	0.4019618341
65	0.401264878
66	0.4000129682
67	0.3981469871
68	0.3969908414
69	0.3956843078
70	0.3949203261
71	0.3937642408
72	0.3927785217
73	0.3918977527
74	0.3907419853
75	0.3897980565
76	0.388775187
77	0.3878467974
78	0.3863166557
79	0.3848285132
80	0.383684861
81	0.3827125391
82	0.3819920327
83	0.3808456603
84	0.3802727459
85	0.3791052248
86	0.3785982998
87	0.3777501112
88	0.3767562954
89	0.3763937394
90	0.3754827576
91	0.3744271092
92	0.3737334356
93	0.3732072274
94	0.3723309078
95	0.3716344471
96	0.3710509208
97	0.3707513016
98	0.3704452713
99	0.3698850558
