iter	Passed	Remaining
0	0	39
1	0	39
2	1	37
3	1	36
4	1	37
5	2	33
6	2	30
7	2	30
8	3	31
9	3	29
10	3	29
11	3	28
12	4	28
13	4	28
14	4	28
15	5	27
16	5	27
17	6	27
18	6	27
19	6	27
20	6	26
21	7	25
22	7	25
23	8	25
24	8	25
25	8	24
26	9	24
27	9	24
28	9	24
29	10	23
30	10	23
31	11	23
32	11	23
33	11	22
34	12	22
35	12	22
36	12	21
37	13	21
38	13	21
39	13	20
40	14	20
41	14	20
42	14	19
43	15	19
44	15	18
45	15	18
46	16	18
47	16	17
48	16	17
49	16	16
50	17	16
51	17	16
52	17	15
53	18	15
54	18	15
55	18	14
56	19	14
57	19	14
58	20	14
59	20	13
60	20	13
61	21	13
62	21	12
63	21	12
64	22	11
65	22	11
66	22	11
67	23	11
68	24	10
69	24	10
70	24	10
71	25	9
72	25	9
73	25	9
74	26	8
75	26	8
76	27	8
77	27	7
78	27	7
79	28	7
80	28	6
81	28	6
82	29	5
83	29	5
84	29	5
85	30	4
86	30	4
87	30	4
88	31	3
89	31	3
90	32	3
91	33	2
92	33	2
93	34	2
94	34	1
95	34	1
96	35	1
97	35	0
98	35	0
99	36	0
